species,x,y
Solanum elaeagnifolium,139.21973,-34.75661
Solanum elaeagnifolium,139.22059,-34.75541
Solanum elaeagnifolium,139.21438,-34.75353
Solanum elaeagnifolium,138.5824878,-34.75344517
Solanum elaeagnifolium,139.22203,-34.75309
Solanum elaeagnifolium,139.22224,-34.75257
Solanum elaeagnifolium,139.22232,-34.75217
Solanum elaeagnifolium,139.22297,-34.75045
Solanum elaeagnifolium,146.55,-34.75
Solanum elaeagnifolium,139.21653,-34.7498
Solanum elaeagnifolium,139.21656,-34.74979
Solanum elaeagnifolium,139.21683,-34.74926
Solanum elaeagnifolium,139.21685,-34.74919
Solanum elaeagnifolium,139.265,-34.74888
Solanum elaeagnifolium,139.22219,-34.74849
Solanum elaeagnifolium,139.21287,-34.74812
Solanum elaeagnifolium,139.22397,-34.74796
Solanum elaeagnifolium,139.22398,-34.74781
Solanum elaeagnifolium,139.23672,-34.74778
Solanum elaeagnifolium,139.30443,-34.74762
Solanum elaeagnifolium,139.26642,-34.74648
Solanum elaeagnifolium,139.22032,-34.74647
Solanum elaeagnifolium,139.2194,-34.74541
Solanum elaeagnifolium,139.21964,-34.74526
Solanum elaeagnifolium,139.22279,-34.74435
Solanum elaeagnifolium,138.56856,-34.74352
Solanum elaeagnifolium,139.23025,-34.74299
Solanum elaeagnifolium,138.9397041,-34.74261227
Solanum elaeagnifolium,139.22071,-34.74237
Solanum elaeagnifolium,138.5355381,-34.74233548
Solanum elaeagnifolium,139.27017,-34.73945
Solanum elaeagnifolium,139.27094,-34.73782
Solanum elaeagnifolium,139.27153,-34.73693
Solanum elaeagnifolium,139.25975,-34.73614
Solanum elaeagnifolium,139.26031,-34.73592
Solanum elaeagnifolium,148.05,-34.7333
Solanum elaeagnifolium,140.55348,-34.73295
Solanum elaeagnifolium,139.26981,-34.73085
Solanum elaeagnifolium,148.05,-34.73
Solanum elaeagnifolium,140.70128,-34.72443
Solanum elaeagnifolium,140.69899,-34.72407
Solanum elaeagnifolium,140.62457,-34.7214
Solanum elaeagnifolium,140.7302454,-34.71926807
Solanum elaeagnifolium,139.36856,-34.71631
Solanum elaeagnifolium,138.55782,-34.71568
Solanum elaeagnifolium,138.56705,-34.7136
Solanum elaeagnifolium,138.5726,-34.71253
Solanum elaeagnifolium,138.57254,-34.71236
Solanum elaeagnifolium,138.57254,-34.71236
Solanum elaeagnifolium,138.59006,-34.71109
Solanum elaeagnifolium,138.58986,-34.711
Solanum elaeagnifolium,138.55873,-34.71026
Solanum elaeagnifolium,138.57889,-34.70615
Solanum elaeagnifolium,138.57874,-34.70601
Solanum elaeagnifolium,138.60725,-34.70594
Solanum elaeagnifolium,146.5160079,-34.70199431
Solanum elaeagnifolium,138.58176,-34.70108
Solanum elaeagnifolium,138.58189,-34.70093
Solanum elaeagnifolium,146.6,-34.7
Solanum elaeagnifolium,138.55829,-34.69938
Solanum elaeagnifolium,138.59806,-34.69805
Solanum elaeagnifolium,138.59787,-34.69797
Solanum elaeagnifolium,138.6430365,-34.69594437
Solanum elaeagnifolium,139.33966,-34.69512
Solanum elaeagnifolium,139.33939,-34.69292
Solanum elaeagnifolium,138.7688,-34.69015
Solanum elaeagnifolium,138.7688,-34.69004
Solanum elaeagnifolium,138.61049,-34.68961
Solanum elaeagnifolium,138.61898,-34.6874
